,table_name
0,pg_type
1,pg_foreign_table
2,loan_payments
3,pg_roles
4,pg_settings
5,pg_available_extension_versions
6,pg_stat_xact_user_functions
7,pg_subscription
8,pg_attribute
9,pg_proc
10,pg_class
11,pg_attrdef
12,pg_constraint
13,pg_inherits
14,pg_index
15,pg_operator
16,pg_opfamily
17,pg_opclass
18,pg_am
19,pg_amop
20,pg_amproc
21,pg_language
22,pg_stat_archiver
23,pg_stat_bgwriter
24,pg_stat_wal
25,pg_stat_progress_analyze
26,pg_stat_progress_vacuum
27,pg_stat_progress_cluster
28,pg_stat_progress_create_index
29,pg_stat_progress_basebackup
30,pg_stat_progress_copy
31,pg_largeobject_metadata
32,pg_aggregate
33,pg_statistic_ext
34,pg_rewrite
35,pg_trigger
36,pg_event_trigger
37,pg_description
38,pg_cast
39,pg_enum
40,pg_namespace
41,pg_conversion
42,pg_depend
43,pg_database
44,pg_db_role_setting
45,pg_tablespace
46,pg_auth_members
47,pg_shdepend
48,pg_shdescription
49,pg_ts_config
50,pg_ts_config_map
51,pg_ts_dict
52,pg_ts_parser
53,pg_ts_template
54,pg_extension
55,pg_foreign_data_wrapper
56,pg_foreign_server
57,pg_policy
58,pg_replication_origin
59,pg_default_acl
60,pg_init_privs
61,pg_seclabel
62,pg_shseclabel
63,pg_collation
64,pg_partitioned_table
65,pg_range
66,pg_transform
67,pg_sequence
68,pg_publication
69,pg_publication_rel
70,pg_subscription_rel
71,pg_matviews
72,pg_group
73,pg_user
74,pg_policies
75,pg_rules
76,pg_views
77,pg_tables
78,pg_indexes
79,pg_sequences
80,pg_stats
81,pg_stats_ext
82,pg_stats_ext_exprs
83,pg_publication_tables
84,pg_locks
85,pg_cursors
86,pg_available_extensions
87,pg_prepared_xacts
88,pg_prepared_statements
89,pg_seclabels
90,pg_stat_xact_user_tables
91,pg_timezone_abbrevs
92,pg_timezone_names
93,pg_statio_all_tables
94,pg_statio_sys_tables
95,pg_stat_all_tables
96,pg_stat_xact_all_tables
97,pg_stat_sys_tables
98,pg_stat_xact_sys_tables
99,pg_stat_user_tables
100,pg_statio_user_tables
101,pg_stat_all_indexes
102,pg_stat_sys_indexes
103,pg_stat_user_indexes
104,pg_statio_all_indexes
105,pg_statio_sys_indexes
106,pg_statio_user_indexes
107,pg_statio_all_sequences
108,pg_statio_sys_sequences
109,pg_statio_user_sequences
110,pg_stat_activity
111,pg_stat_replication
112,pg_stat_slru
113,pg_stat_wal_receiver
114,pg_stat_subscription
115,pg_stat_ssl
116,pg_stat_gssapi
117,pg_replication_slots
118,pg_stat_replication_slots
119,pg_stat_database
120,pg_stat_database_conflicts
121,pg_stat_user_functions
122,pg_user_mappings
123,information_schema_catalog_name
124,attributes
125,applicable_roles
126,administrable_role_authorizations
127,check_constraint_routine_usage
128,character_sets
129,check_constraints
130,collations
131,collation_character_set_applicability
132,column_column_usage
133,column_domain_usage
134,routines
135,column_privileges
136,role_column_grants
137,column_udt_usage
138,columns
139,constraint_column_usage
140,routine_column_usage
141,constraint_table_usage
142,domain_constraints
143,domain_udt_usage
144,routine_privileges
145,domains
146,enabled_roles
147,schemata
148,key_column_usage
149,role_routine_grants
150,parameters
151,referential_constraints
152,routine_routine_usage
153,routine_sequence_usage
154,sequences
155,routine_table_usage
156,sql_implementation_info
157,sql_features
158,sql_sizing
159,table_constraints
160,table_privileges
161,view_table_usage
162,role_table_grants
163,tables
164,user_mappings
165,triggered_update_columns
166,views
167,triggers
168,udt_privileges
169,foreign_data_wrappers
170,role_udt_grants
171,data_type_privileges
172,usage_privileges
173,role_usage_grants
174,user_defined_types
175,element_types
176,view_column_usage
177,view_routine_usage
178,column_options
179,foreign_table_options
180,foreign_data_wrapper_options
181,foreign_server_options
182,foreign_servers
183,user_mapping_options
184,foreign_tables
